property_type,place,area,furnishing_details,society,bedrooms,bathroom,balcony,price_per_sqft,price,latitude,longitude
flat,chandkheda,3078.0,unfurnished,rj pashmina,3,3.0,1.0,4548.0,1.4,23.1100643,72.5811205
flat,shela,3238.0,unfurnished,kavisha the portrait,4,4.0,1.0,4200.0,1.36,23.0108213,72.44271186959236
flat,gota,3445.0,unfurnished,super shaligram,4,4.0,1.0,5806.0,2.0,23.1010002,72.5408363
flat,chharodi,2550.0,unfurnished,ideal imbert,3,3.0,1.0,4746.0,1.21,23.0393458,72.2748933
flat,gota,3420.0,unfurnished,abhilasha,4,4.0,2.0,5146.0,1.76,23.1010002,72.5408363
flat,chandkheda,1845.0,unfurnished,eden parmeshwar,3,3.0,1.0,4228.0,0.78,23.1100643,72.5811205
flat,shela,2548.0,unfurnished,kavisha the portrait,3,3.0,1.0,4200.0,1.07,23.0108213,72.44271186959236
flat,jagatpur,1971.0,unfurnished,alexa,3,3.0,1.0,5733.0,1.13,23.09916113959176,72.5517012504195
flat,shela,4455.0,unfurnished,riviera majestica,4,3.0,2.0,5500.0,2.45,23.0108213,72.44271186959236
flat,shela,1035.0,unfurnished,kavisha the portrait,3,3.0,1.0,0.0,1.01,23.0108213,72.44271186959236
flat,godhavi,3900.0,unfurnished,turquoise grandeur,4,4.0,1.0,4641.0,1.81,23.0233196,72.4087089
flat,ambli,3222.0,unfurnished,ayaan,4,4.0,4.0,9250.0,2.98,23.02871785,72.48164295008098
flat,navrangpura,4057.0,unfurnished,athens,4,4.0,1.0,7000.0,2.84,23.0359998,72.5643429
flat,gota,5045.0,unfurnished,shilp residency,4,4.0,2.0,6541.0,3.3,23.1010002,72.5408363
flat,gota,2365.0,unfurnished,rajshree regalia,3,3.0,1.0,4778.0,1.13,23.1010002,72.5408363
flat,shilaj,3312.0,unfurnished,saayam,4,4.0,1.0,4650.0,1.54,23.0544372,72.4720756
flat,shilaj,1753.0,unfurnished,artiz arcelia,3,3.0,1.0,5190.0,0.91,23.0544372,72.4720756
flat,gota,2286.0,unfurnished,shantam parmeshwar,3,3.0,2.0,5249.0,1.2,23.1010002,72.5408363
flat,shela,2822.0,unfurnished,hr eliseo,4,4.0,2.0,4500.0,1.27,23.0108213,72.44271186959236
flat,shela,1750.0,unfurnished,sun skyview,3,3.0,1.0,4000.0,0.7,23.0108213,72.44271186959236
flat,navrangpura,3943.0,unfurnished,athens,4,4.0,1.0,7000.0,2.76,23.0359998,72.5643429
flat,shela,1750.0,unfurnished,sun skyview,3,3.0,1.0,4000.0,0.7,23.0108213,72.44271186959236
flat,sanathal,3555.0,unfurnished,green park,4,4.0,1.0,9423.0,3.35,22.9645191,72.4704112
flat,shela,1035.0,unfurnished,kavisha the portrait,3,3.0,1.0,0.0,1.01,23.0108213,72.44271186959236
flat,gota,2042.0,unfurnished,shilp residency,3,3.0,1.0,5338.0,1.09,23.1010002,72.5408363
flat,shela,2822.0,unfurnished,hr eliseo,4,4.0,2.0,4500.0,1.27,23.0108213,72.44271186959236
flat,bodakdev,4500.0,unfurnished,times 104,4,5.0,2.0,9000.0,4.05,23.0445921,72.517344
flat,bodakdev,7452.0,unfurnished,venus pashmina,5,5.0,2.0,9997.0,7.45,23.0445921,72.517344
flat,shela,1035.0,unfurnished,kavisha the portrait,3,3.0,1.0,0.0,1.01,23.0108213,72.44271186959236
flat,iscon ambli road,16400.0,unfurnished,the bellagio,6,6.0,3.0,10500.0,17.22,23.0281431589799,72.48584513298198
flat,daskroi,1795.0,unfurnished,eklingji satvam,3,3.0,1.0,5460.0,0.98,22.95382345,72.75027555946319
flat,chharodi,5967.0,unfurnished,tremont adleap,5,5.0,2.0,4609.0,2.75,23.0393458,72.2748933
flat,shela,1729.0,unfurnished,elenza gradient,3,3.0,1.0,3990.0,0.69,23.0108213,72.44271186959236
flat,shilaj,3312.0,unfurnished,saayam,4,4.0,1.0,4650.0,1.54,23.0544372,72.4720756
flat,shela,3238.0,unfurnished,kavisha the portrait,4,4.0,1.0,4200.0,1.36,23.0108213,72.44271186959236
flat,vaishnodevi circle,1075.0,unfurnished,north enclave,2,2.0,1.0,5674.0,0.61,23.136343132120857,72.54237623802707
flat,koteshwar,4182.0,unfurnished,polaris callisto,4,4.0,1.0,5261.0,2.2,23.1031355,72.60213153396268
flat,ambli,8010.0,unfurnished,the kimana tower,5,6.0,3.0,9550.0,7.65,23.02871785,72.48164295008098
flat,ambli,6700.0,unfurnished,iscon vogue,5,6.0,1.0,9000.0,6.03,23.02871785,72.48164295008098
flat,gota,1296.0,unfurnished,elite green,2,2.0,1.0,4938.0,0.64,23.1010002,72.5408363
flat,ambli,3159.0,unfurnished,indraprasth shivanta,4,4.0,2.0,6110.0,1.93,23.02871785,72.48164295008098
flat,vaishnodevi circle,2341.0,unfurnished,ganesh legacy,3,3.0,1.0,4400.0,1.03,23.136343132120857,72.54237623802707
flat,ambli,8011.0,unfurnished,the kimana tower,5,6.0,3.0,9200.0,7.37,23.02871785,72.48164295008098
flat,chandlodiya,1120.0,unfurnished,aarambh vistara,2,2.0,1.0,3750.0,0.42,23.0751633,72.5440359
flat,paldi,1890.0,furnished,,3,3.0,2.0,6878.0,1.3,23.0145531,72.5635432
flat,science city,3770.0,unfurnished,,4,4.0,1.0,6074.0,2.29,23.077854,72.49479798780331
flat,sindhu bhavan marg,1761.0,unfurnished,,3,4.0,1.0,4600.0,0.81,23.04136287523569,72.49591398035237
flat,science city,3546.0,unfurnished,,4,4.0,1.0,5753.0,2.04,23.077854,72.49479798780331
flat,gota,2313.0,unfurnished,satatya syril,3,3.0,1.0,6917.0,1.6,23.1010002,72.5408363
flat,vaishnodevi circle,2335.0,unfurnished,green view,3,3.0,1.0,6638.0,1.55,23.136343132120857,72.54237623802707
flat,jagatpur,1800.0,unfurnished,the green parmeshwar,3,3.0,2.0,4167.0,0.75,23.09916113959176,72.5517012504195
flat,vaishnodevi circle,1205.0,unfurnished,adani aster,2,2.0,1.0,5145.0,0.62,23.136343132120857,72.54237623802707
flat,ghatlodiya,2916.0,unfurnished,aadhya arambh residential,4,4.0,1.0,5350.0,1.56,23.075569,72.549728
flat,bopal,2960.0,unfurnished,rajyash regius,4,4.0,1.0,6216.0,1.84,23.02353855,72.47052697610516
flat,jagatpur,1423.0,unfurnished,blue bell,2,2.0,1.0,4778.0,0.68,23.09916113959176,72.5517012504195
flat,shela,3289.0,unfurnished,the canvas,4,4.0,1.0,4500.0,1.48,23.0108213,72.44271186959236
flat,science city,1314.0,furnished,,2,2.0,1.0,6469.0,0.85,23.077854,72.49479798780331
flat,ognaj,1665.0,unfurnished,nb upavan,3,3.0,1.0,4204.0,0.7,23.1177924,72.5136803
flat,ambli,4651.0,unfurnished,oeuvre 3,4,4.0,1.0,7525.0,3.5,23.02871785,72.48164295008098
flat,shela,1510.0,unfurnished,shilp revanta,3,3.0,1.0,4635.0,0.7,23.0108213,72.44271186959236
flat,gota,1215.0,furnished,shripad residency,2,2.0,1.0,5103.0,0.62,23.1010002,72.5408363
flat,vaishnodevi circle,1850.0,unfurnished,shaligram lakeview,3,3.0,2.0,4865.0,0.9,23.136343132120857,72.54237623802707
flat,vaishnodevi circle,1836.0,unfurnished,aristo anandam,3,3.0,1.0,4956.0,0.91,23.136343132120857,72.54237623802707
flat,jagatpur,2135.0,unfurnished,blue bell,3,3.0,1.0,4778.0,1.02,23.09916113959176,72.5517012504195
flat,zundal,1835.0,unfurnished,vivaan ixora,3,3.0,1.0,3651.0,0.67,23.13683247097441,72.58325451559396
flat,shela,3775.0,unfurnished,,4,4.0,1.0,4026.0,1.52,23.0108213,72.44271186959236
flat,naranpura,3164.0,unfurnished,indraprasth saptak,4,4.0,1.0,5689.0,1.8,23.0567133,72.5508575
flat,jagatpur,1800.0,unfurnished,dharti skyline,3,3.0,1.0,4667.0,0.84,23.09916113959176,72.5517012504195
flat,sabarmati,2221.0,unfurnished,,3,3.0,1.0,6258.0,1.39,23.0770712,72.5890677
flat,zundal,1890.0,unfurnished,,3,3.0,1.0,3810.0,0.72,23.13683247097441,72.58325451559396
flat,vaishnodevi circle,3410.0,unfurnished,,4,4.0,2.0,5250.0,1.79,23.136343132120857,72.54237623802707
flat,iscon ambli road,4384.0,semi-furnished,seventy,4,5.0,1.0,11177.0,4.9,23.0281431589799,72.48584513298198
flat,gota,1789.0,unfurnished,festival o2,3,3.0,3.0,4806.0,0.86,23.1010002,72.5408363
flat,prahlad nagar,2100.0,unfurnished,shyam residency,3,3.0,1.0,7143.0,1.5,22.999936851111823,72.50501110255662
flat,gota,1755.0,unfurnished,shayona green,3,3.0,3.0,4843.0,0.85,23.1010002,72.5408363
flat,sola,2812.0,unfurnished,,3,3.0,1.0,4800.0,1.35,23.069237,72.5111307
flat,gota,3300.0,unfurnished,,4,4.0,1.0,6000.0,1.98,23.1010002,72.5408363
flat,zundal,1566.0,semi-furnished,kadamb greens,3,3.0,1.0,3831.0,0.6,23.13683247097441,72.58325451559396
flat,bodakdev,3240.0,furnished,,4,4.0,2.0,10031.0,3.25,23.0445921,72.517344
flat,shela,1350.0,unfurnished,indraprasth ixora,2,2.0,1.0,3630.0,0.49,23.0108213,72.44271186959236
flat,sanathal,2395.0,unfurnished,orchid gold,3,3.0,1.0,5720.0,1.37,22.9645191,72.4704112
flat,gota,2360.0,unfurnished,shilp residency,3,3.0,1.0,5000.0,1.18,23.1010002,72.5408363
flat,shilaj,4000.0,unfurnished,saiyamm apricus 2,4,4.0,1.0,7425.0,2.97,23.0544372,72.4720756
flat,south bopal,1700.0,unfurnished,,3,3.0,1.0,4529.0,0.77,23.02353855,72.47052697610516
flat,bodakdev,3300.0,unfurnished,anamika high point,4,4.0,1.0,8485.0,2.8,23.0445921,72.517344
flat,ambli,8743.0,unfurnished,royce one,6,8.0,2.0,9550.0,8.35,23.02871785,72.48164295008098
flat,shela,3260.0,unfurnished,kavisha the portrait,4,4.0,1.0,6472.0,2.11,23.0108213,72.44271186959236
flat,shantipura,2333.0,unfurnished,swati premier,3,3.0,1.0,4500.0,1.05,22.987597,72.47144058390487
flat,sanathal,2378.0,unfurnished,orchid gold,3,3.0,1.0,4500.0,1.07,22.9645191,72.4704112
flat,south bopal,3288.0,unfurnished,the canvas,4,4.0,1.0,4501.0,1.48,23.02353855,72.47052697610516
flat,shela,4457.0,unfurnished,riviera springs,4,4.0,2.0,7000.0,3.12,23.0108213,72.44271186959236
flat,shela,1260.0,unfurnished,maher homes 5,2,2.0,1.0,4048.0,0.51,23.0108213,72.44271186959236
